name,description,lon,lat
HYATT-GUEST,BSSID: <b>ec:e1:a9:8e:07:c0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393096523999</b><br/>Date: <b>2014-02-22 14:15:23</b>,-82.39662214298646,34.85218038918766
ANTHRO_GUEST_WIFI,BSSID: <b>b4:c7:99:09:df:c2</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393094534000</b><br/>Date: <b>2014-02-22 13:42:14</b>,-82.39831627851423,34.85155932395494
On The Roof,BSSID: <b>00:17:c5:bd:d9:f0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2442</b><br/>Timestamp: <b>1393094545000</b><br/>Date: <b>2014-02-22 13:42:25</b>,-82.3985110168358,34.851533507492036
Courtyard_Guest,BSSID: <b>50:17:ff:9e:5e:10</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393097705999</b><br/>Date: <b>2014-02-22 14:35:05</b>,-82.4003127284243,34.84837677490913
FlowMotion-guest,BSSID: <b>58:6d:8f:b9:e0:d2</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096118999</b><br/>Date: <b>2014-02-22 14:08:38</b>,-82.39856376146062,34.85075273043208
HP-Print-94-Officejet 6700,BSSID: <b>d8:9d:67:3b:be:94</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393098663000</b><br/>Date: <b>2014-02-22 14:51:03</b>,-82.39993700324219,34.84830970665826
City Of Greenville Guest,BSSID: <b>06:27:22:59:4e:03</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393098700000</b><br/>Date: <b>2014-02-22 14:51:40</b>,-82.39978861948595,34.848599622991635
RedWolf-guest,BSSID: <b>4e:f8:b3:8d:0a:f4</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2457</b><br/>Timestamp: <b>1393097421000</b><br/>Date: <b>2014-02-22 14:30:21</b>,-82.40007091125817,34.850033211652885
HYATT-GUEST,BSSID: <b>0c:68:03:cb:ea:d0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393096706999</b><br/>Date: <b>2014-02-22 14:18:26</b>,-82.39782779416892,34.85310816919041
C4,BSSID: <b>64:a0:e7:da:95:53</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393096807000</b><br/>Date: <b>2014-02-22 14:20:07</b>,-82.3977395029403,34.85396556794715
SIP_Guest,BSSID: <b>0a:27:22:fb:7a:33</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393098964999</b><br/>Date: <b>2014-02-22 14:56:04</b>,-82.39948326337026,34.84992268081948
Sobys on the Side,BSSID: <b>06:27:22:53:66:6a</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393098545000</b><br/>Date: <b>2014-02-22 14:49:05</b>,-82.40027016267445,34.84747085563795
REGUSNETWIFI,BSSID: <b>00:1a:e3:75:c2:a0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096702999</b><br/>Date: <b>2014-02-22 14:18:22</b>,-82.39788637777362,34.853086827377155
Westin Poinsett Greenville,BSSID: <b>a4:56:30:46:82:d0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393098793999</b><br/>Date: <b>2014-02-22 14:53:13</b>,-82.3993531657373,34.84943110113119
HYATT-GUEST,BSSID: <b>34:a8:4e:43:44:40</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096696999</b><br/>Date: <b>2014-02-22 14:18:16</b>,-82.39788650660313,34.85308683490529
Passerelle Public,BSSID: <b>06:27:22:e3:21:60</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393098189999</b><br/>Date: <b>2014-02-22 14:43:09</b>,-82.40237662909045,34.84471182306065
City Of Greenville Guest,BSSID: <b>c2:9f:db:87:a2:81</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393098557000</b><br/>Date: <b>2014-02-22 14:49:17</b>,-82.40023992903927,34.84750304019587
REGUSNETWIFI,BSSID: <b>00:1c:0f:4c:be:e0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096691999</b><br/>Date: <b>2014-02-22 14:18:11</b>,-82.39790646173634,34.85308025586662
SchwabOne,BSSID: <b>24:de:c6:68:93:e0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096111320</b><br/>Date: <b>2014-02-22 14:08:31</b>,-82.39809709631218,34.8502629586796
public,BSSID: <b>0a:27:22:0b:be:b7</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096392000</b><br/>Date: <b>2014-02-22 14:13:12</b>,-82.39713222946858,34.85211329916593
Mollica,BSSID: <b>00:12:17:0a:12:3d</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096980000</b><br/>Date: <b>2014-02-22 14:23:00</b>,-82.39816685298675,34.852341310196046
HP-Print-B1-Photosmart 6520,BSSID: <b>38:ea:a7:3b:54:b1</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096941000</b><br/>Date: <b>2014-02-22 14:22:21</b>,-82.39785018309111,34.853057051464425
Pomegranate_Guest,BSSID: <b>00:22:75:a1:d8:69</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393098066000</b><br/>Date: <b>2014-02-22 14:41:06</b>,-82.40229630279089,34.84507127787195
AMX,BSSID: <b>00:c0:a8:ab:3b:c4</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393096368000</b><br/>Date: <b>2014-02-22 14:12:48</b>,-82.39736994472149,34.85217865464794
HP-Print-a8-LaserJet 200,BSSID: <b>84:4b:f5:08:30:a8</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393098590000</b><br/>Date: <b>2014-02-22 14:49:50</b>,-82.40005426635942,34.84789627650265
TRIO,BSSID: <b>00:1e:2a:04:73:c2</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096204000</b><br/>Date: <b>2014-02-22 14:10:04</b>,-82.39904636829807,34.85105669434842
SIP_Guest,BSSID: <b>0a:27:22:fb:7a:64</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393094545000</b><br/>Date: <b>2014-02-22 13:42:25</b>,-82.3985110168358,34.851533507492036
